protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.1,circuit8326.qasm,3,0,0,✓,47
FK12,malicious,0.1,circuit2886.qasm,3,1,1,✓,70
FK12,malicious,0.1,circuit5565.qasm,5,1,1,✓,62
FK12,malicious,0.05,circuit3498.qasm,3,0,0,✓,44
FK12,malicious,0.05,circuit4708.qasm,3,1,1,✓,59
FK12,malicious,0.05,circuit2971.qasm,3,1,1,✓,74
FK12,malicious,0.1,circuit2244.qasm,4,1,1,✓,63
FK12,malicious,0.05,circuit3589.qasm,2,0,0,✓,34
FK12,malicious,0.05,circuit4099.qasm,0,1,1,✓,63
FK12,malicious,0.1,circuit7101.qasm,1,1,1,✓,67
FK12,malicious,0.05,circuit8891.qasm,4,0,0,✓,38
FK12,malicious,0.1,circuit2343.qasm,5,0,0,✓,40
FK12,malicious,0.05,circuit5028.qasm,0,0,0,✓,40
FK12,malicious,0.1,circuit4703.qasm,4,1,1,✓,70
FK12,malicious,0.05,circuit0742.qasm,4,1,1,✓,60
FK12,malicious,0.05,circuit8242.qasm,2,1,1,✓,61
FK12,malicious,0.1,circuit5432.qasm,3,0,0,✓,35
FK12,malicious,0.1,circuit2204.qasm,5,0,0,✓,36
FK12,malicious,0.1,circuit9081.qasm,6,1,1,✓,64
FK12,malicious,0.1,circuit5296.qasm,8,1,1,✓,59
FK12,malicious,0.1,circuit1737.qasm,8,1,1,✓,67
FK12,malicious,0.1,circuit8389.qasm,5,0,0,✓,42
FK12,malicious,0.1,circuit6104.qasm,4,0,0,✓,37
FK12,malicious,0.1,circuit3047.qasm,6,1,1,✓,62
FK12,malicious,0.1,circuit7197.qasm,4,1,1,✓,65
FK12,malicious,0.1,circuit6734.qasm,6,1,1,✓,56
FK12,malicious,0.1,circuit8100.qasm,5,0,0,✓,34
FK12,malicious,0.1,circuit7799.qasm,4,0,0,✓,42
FK12,malicious,0.1,circuit2971.qasm,4,1,1,✓,60
FK12,malicious,0.1,circuit5383.qasm,7,0,0,✓,36
FK12,malicious,0.1,circuit3589.qasm,6,0,0,✓,36
FK12,malicious,0.15,circuit0126.qasm,6,0,0,✓,31
FK12,malicious,0.1,circuit5028.qasm,4,0,0,✓,38
FK12,malicious,0,circuit7587.qasm,0,1,1,✓,74
FK12,malicious,0.1,circuit8753.qasm,3,0,0,✓,38
FK12,malicious,0,circuit5679.qasm,0,1,1,✓,57
FK12,malicious,0.1,circuit8024.qasm,3,1,1,✓,57
FK12,malicious,0.1,circuit8891.qasm,4,0,0,✓,32
FK12,malicious,0,circuit3191.qasm,0,1,1,✓,63
FK12,malicious,0,circuit6691.qasm,0,1,1,✓,71
FK12,malicious,0,circuit5565.qasm,0,1,1,✓,62
FK12,malicious,0,circuit8380.qasm,0,0,0,✓,37
FK12,malicious,0,circuit8326.qasm,0,0,0,✓,38
FK12,malicious,0,circuit9611.qasm,0,1,1,✓,58
FK12,malicious,0,circuit6067.qasm,0,1,1,✓,69
FK12,malicious,0,circuit4703.qasm,0,1,1,✓,67
FK12,malicious,0.1,circuit0742.qasm,6,1,1,✓,57
FK12,malicious,0,circuit2343.qasm,0,0,0,✓,41
FK12,malicious,0,circuit8253.qasm,0,1,1,✓,64
FK12,malicious,0.05,circuit5296.qasm,1,1,1,✓,57
FK12,malicious,0.05,circuit5383.qasm,2,0,0,✓,38
FK12,malicious,0.05,circuit8100.qasm,2,0,0,✓,41
FK12,malicious,0.05,circuit0662.qasm,3,0,0,✓,38
FK12,malicious,0.05,circuit7799.qasm,2,0,0,✓,47
FK12,malicious,0.15,circuit9611.qasm,6,1,1,✓,61
